name	type	units	sampling_frequency
A1_Fp1	EEG	uV	512
A2_AF7	EEG	uV	512
A3_AF3	EEG	uV	512
A4_F1	EEG	uV	512
A5_F3	EEG	uV	512
A6_F5	EEG	uV	512
A7_F7	EEG	uV	512
A8_FT7	EEG	uV	512
A9_FC5	EEG	uV	512
A10_FC3	EEG	uV	512
A11_FC1	EEG	uV	512
A12_C1	EEG	uV	512
A13_C3	EEG	uV	512
A14_C5	EEG	uV	512
A15_T7	EEG	uV	512
A16_TP7	EEG	uV	512
A17_CP5	EEG	uV	512
A18_CP3	EEG	uV	512
A19_CP1	EEG	uV	512
A20_P1	EEG	uV	512
A21_P3	EEG	uV	512
A22_P5	EEG	uV	512
A23_P7	EEG	uV	512
A24_P9	EEG	uV	512
A25_PO7	EEG	uV	512
A26_PO3	EEG	uV	512
A27_O1	EEG	uV	512
A28_Iz	EEG	uV	512
A29_Oz	EEG	uV	512
A30_POz	EEG	uV	512
A31_Pz	EEG	uV	512
A32_CPz	EEG	uV	512
B1_Fpz	EEG	uV	512
B2_Fp2	EEG	uV	512
B3_AF8	EEG	uV	512
B4_AF4	EEG	uV	512
B5_AFz	EEG	uV	512
B6_Fz	EEG	uV	512
B7_F2	EEG	uV	512
B8_F4	EEG	uV	512
B9_F6	EEG	uV	512
B10_F8	EEG	uV	512
B11_FT8	EEG	uV	512
B12_FC6	EEG	uV	512
B13_FC4	EEG	uV	512
B14_FC2	EEG	uV	512
B15_FCz	EEG	uV	512
B16_Cz	EEG	uV	512
B17_C2	EEG	uV	512
B18_C4	EEG	uV	512
B19_C6	EEG	uV	512
B20_T8	EEG	uV	512
B21_TP8	EEG	uV	512
B22_CP6	EEG	uV	512
B23_CP4	EEG	uV	512
B24_CP2	EEG	uV	512
B25_P2	EEG	uV	512
B26_P4	EEG	uV	512
B27_P6	EEG	uV	512
B28_P8	EEG	uV	512
B29_P10	EEG	uV	512
B30_PO8	EEG	uV	512
B31_PO4	EEG	uV	512
B32_O2	EEG	uV	512
A1	REF	uV	512
A2	REF	uV	512
LOC	EOG	uV	512
ROC	EOG	uV	512
EMG1	EMG	uV	512
EMG2	EMG	uV	512
ECG1	ECG	uV	512
ECG2	ECG	uV	512
Status	TRIG	Boolean	512
